;news_id;news_title;news_link;news_subtit;news_rel
115;LV;Restos de la batalla de El Alamein aún yacen en el desierto egipcio;http://www.lavanguardia.com/cultura/20171020/432199984458/el-alamein-restos-batalla-egipto-guerra-mundial.html;;
116;LV;El impactante relato de Lupita Nyong’o sobre los abusos de Weinstein;http://www.lavanguardia.com/gente/20171020/432209062868/lupita-nyongo-abuso-sexual-weinstein.html;;
117;LV;Aguirre contó con 1,5 millones en negro para su campaña electoral de 2011;http://www.lavanguardia.com/politica/20171020/432192625764/pp-madrid-financiacion-campana-elecciones-autonomicas-esperanza-aguirre-caja-b.html;;
118;LV;El Govern eleva a 1.066 las personas atendidas por las cargas en el 1-O;http://www.lavanguardia.com/politica/20171020/432201536602/heridos-referendum-1-o-cargas-policiales-salut.html;;
119;LV;Colau: “Si el PSC apoya al 155 se abrirá una reflexión en Barcelona en Comú”;http://www.lavanguardia.com/politica/20171020/432198891265/articulo-155-ada-colau-reflexion-bcomu.html;;
120;LV;La Fiscalía instará al Govern a apartar a Trapero de su cargo;http://www.lavanguardia.com/politica/20171019/432187704136/fiscalia-govern-apartar-mayor-trapero.html;;
121;LV;Las fuerzas iraquíes retoman el control completo de la región kurda de Kirkuk;http://www.lavanguardia.com/internacional/20171020/432199505274/irak-control-provincia-kirkuk-kurdos.html;;
122;LV;Theresa May vincula la factura del Brexit al acuerdo que vaya a regular las futuras relaciones;http://www.lavanguardia.com/internacional/20171020/432202596627/may-factura-brexit-relaciones-ue.html;;
123;LV;Pragmatismo y renovación: una nueva generación de políticos ya llega al poder;http://www.lavanguardia.com/internacional/20171019/432188947402/generacion-jovenes-politicos-poder.html;;
124;LV;Un atentado suicida en una mezquita de Kabul mata al menos a 32 personas;http://www.lavanguardia.com/internacional/20171020/432205010529/atentado-suicida-mezquita-kabul.html;;
125;LV;Gerard Piqué: “En Catalunya no paramos de adoctrinar a los niños”;http://www.lavanguardia.com/gente/20171020/432206605269/pique-ironiza-sobre-adoctrinamiento-en-catalunya.html;;
126;LV;Así vivieron los pasajeros del último vuelo Air Berlin una temeraria maniobra;http://www.lavanguardia.com/vida/20171020/432204635205/pasajeros-ultimo-vuelo-air-berlin-youtube.html;;
127;LV;Muere Federico Luppi;http://www.lavanguardia.com/cultura/20171020/432203443594/federico-luppi.html;;
128;LV;¿Cuánto dinero ganaron los ‘triunfitos’ del primer ‘OT’?;http://www.lavanguardia.com/television/20171020/432199159549/operacion-triunfo-ot-sueldo-concursantes.html;;
129;LV;¿Qué ver hoy viernes noche en televisión?;http://www.lavanguardia.com/television/20171020/432205960873/que-ver-television-viernes-20.html;;
130;LV;EE.UU. doblega a Japón en el primer “combate a muerte” entre robots;http://www.lavanguardia.com/internacional/20171018/432162045206/combate-robots-gigantes-eeuu-japon.html;;
131;LV;Lo que ocurre con el perro policía cuando se jubila o si no ‘da la talla’;http://www.lavanguardia.com/vivo/mascotas/20171020/432179182966/adopcion-perros-policias.html;;
132;LV;Un misterioso agujero caliente en el Antártico intriga a los científicos;http://www.lavanguardia.com/natural/20171020/432128873724/estudian-misterioso-agujero-caliente-aguas-antartico.html;;
133;LV;La nueva Ley de los Autónomos, en seis minutos;http://www.observatorio-empresas.vodafone.es/articulos/nueva-ley-autonomos-2018-celia-ferrero-ata/;;
134;LV;Un gigante pisa fuerte en la cartelera;http://www.lavanguardia.com/cultura/20171020/432178542675/handia-gigante-estrenos-cine-cartelera-viernas.html;;
135;LV;8 planes únicos para este fin de semana;http://www.lavanguardia.com/local/20171020/432181150983/planes-fin-de-semana-catalunya.html;;
136;LV;Qué hacer este viernes, sábado y el domingo en Barcelona;http://www.lavanguardia.com/local/barcelona/20171020/432158418902/que-hacer-hoy-barcelona-fin-de-semana.html;;
137;LV;La semana dice adiós con bajada de temperaturas en Catalunya;http://www.lavanguardia.com/vida/20171020/432182193952/el-tiempo-fin-de-semana-catalunya.html;;
